Employee ID,Position Title,Department,Annual Salary,Review Score
33726,POLICE OFFICER,POLICE,63553,7.1
33732,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,46194,8.2
33737,POLICE OFFICER,POLICE,62003,6.3
33738,POLICE OFFICER,POLICE,67323,5.3
33740,LEGISLATIVE AIDE,CITY COUNCIL,24073,5.9
33743,ADMINISTRATIVE ASST III,EMERGENCY MGMT,50306,7.5
33745,POLICE OFFICER,POLICE,61640,5.5
33746,FIRE ENGINEER-EMT,FIRE,72194,5.4
33748,CAPTAIN-EMT,FIRE,95096,6.2
33755,FIRE ENGINEER-EMT,FIRE,69686,5.5
33757,POLICE OFFICER,POLICE,62006,6.6
33762,MOTOR TRUCK DRIVER,WATER MGMT,55816,6.8
33764,POLICE OFFICER,POLICE,61320,7.3
33766,FIREFIGHTER,FIRE,63796,7.3
33767,ACCOUNTING TECHNICIAN II,FINANCE,46201,7.6
33770,REPROGRAPHICS TECHNICIAN III,GENERAL SERVICES,41808,4.9
33774,LABORER - APPRENTICE,WATER MGMT,54728,8
33775,FIREFIGHTER,FIRE,61186,6
33777,LIBRARY CLERK,PUBLIC LIBRARY,30832,7.5
33784,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,69065,8.3
33787,POLICE OFFICER,POLICE,59187,5.7
33788,POLICE OFFICER,POLICE,51343,5.1
33797,SANITATION LABORER,SANITATION,56037,6.5
33798,SERGEANT,POLICE,79997,4.1
33803,POOL MOTOR TRUCK DRIVER,SANITATION,50551,6.5
33806,POLICE OFFICER,POLICE,48958,4.9
33807,FIREFIGHTER-EMT,FIRE,69491,6.6
33820,POLICE OFFICER,POLICE,56931,5.7
33822,POLICE OFFICER,POLICE,59195,6.9
33823,ELECTRICAL MECHANIC-AUTO-POLICE MTR MNT,GENERAL SERVICES,70192,6.2
33829,FIREFIGHTER-EMT,FIRE,62687,6.2
33830,TRAFFIC ENFORCEMENT TECH,FINANCE,24118,7.5
33831,FOSTER GRANDPARENT,FAMILY & SUPPORT,3681,5.2
33832,POLICE OFFICER,POLICE,63940,6.3
33835,SENIOR COMPANION,FAMILY & SUPPORT,3812,5.2
33836,POLICE OFFICER,POLICE,63471,6.1
33837,POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST),POLICE,73944,6.4
33842,POLICE OFFICER,POLICE,67651,7.1
33843,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16735,6.2
33846,FIREFIGHTER,FIRE,66039,7.5
33847,POLICE OFFICER,POLICE,51859,6.8
33850,POLICE OFFICER,POLICE,67730,6.7
33852,POLICE OFFICER,POLICE,61822,7.2
33856,FIREFIGHTER,FIRE,63502,7.7
33860,CLERK III,FAMILY & SUPPORT,42480,6.9
33862,POLICE OFFICER,POLICE,61789,6.5
33869,GARAGE ATTENDANT,GENERAL SERVICES,37041,6.1
33876,POLICE OFFICER,POLICE,59680,6.1
33879,SERGEANT,POLICE,78386,4.3
33880,CUSTODIAL WORKER,GENERAL SERVICES,28109,6.4
33881,POLICE COMMUNICATIONS OPERATOR II,EMERGENCY MGMT,68959,6.1
33882,FIREFIGHTER,FIRE,40621,7.5
33886,TIMEKEEPER - CPD,POLICE,44289,5.4
33887,POLICE OFFICER,POLICE,59063,5.3
33890,POLICE OFFICER,POLICE,61256,4.5
33894,POLICE OFFICER,POLICE,63672,7.6
33896,FIREFIGHTER-EMT,FIRE,64122,6.8
33899,FIREFIGHTER,FIRE,39964,6.6
33904,ASST CHIEF OPERATING ENGINEER,WATER MGMT,83350,7.5
33908,SUPVSR OF ANIMAL CARE AIDES,ANIMAL CONTRL,57151,6.3
33910,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,68451,5.4
33911,POLICE OFFICER,POLICE,63890,7.4
33912,DIR OF CONSERVATION INSPECTIONS,BUILDINGS,87972,7.1
33921,PARAMEDIC I/C,FIRE,65982,7.3
33927,POLICE OFFICER,POLICE,67255,4.5
33929,TREE TRIMMER,SANITATION,57438,6.5
33932,FIRE ENGINEER-EMT,FIRE,74344,7
33933,PROJECTS ADMINISTRATOR,FAMILY & SUPPORT,57254,4.3
33936,FIREFIGHTER-EMT,FIRE,66690,6.1
33937,FIREFIGHTER-EMT,FIRE,64805,7.6
33938,SANITATION LABORER,SANITATION,56307,7
33939,INVESTIGATOR SPECIALIST,FIRE,45810,7
33946,LABORER,AVIATION,51379,6.5
33948,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16842,7.7
33949,ASST CORPORATION COUNSEL SUPVSR,LAW,67752,6.9
33951,MOTOR TRUCK DRIVER,AVIATION,55483,8.1
33954,STATION LABORER,WATER MGMT,33757,6.4
33957,POLICE OFFICER,POLICE,59451,8.6
33958,POLICE OFFICER,POLICE,61277,6.2
33959,FIREFIGHTER-EMT,FIRE,61916,7.1
33960,SENIOR DATA ENTRY OPERATOR,POLICE,43738,5.8
33962,SERGEANT,POLICE,83115,5.4
33963,LIBRARY PAGE,PUBLIC LIBRARY,10363,6.1
33964,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,64865,6.8
33966,GARAGE ATTENDANT,GENERAL SERVICES,36827,7.1
33968,POLICE OFFICER,POLICE,65649,7.5
33970,SERGEANT,POLICE,80750,4.7
33976,FIREFIGHTER,FIRE,40289,5.8
33977,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,70923,6.6
33980,CONSTRUCTION LABORER,WATER MGMT,60494,6.7
33983,CAPTAIN-EMT,FIRE,91836,5.3
33985,POLICE OFFICER,POLICE,61269,6.3
33986,AVIATION SECURITY OFFICER,AVIATION,50266,8.3
33987,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,68839,6.1
33993,POLICE OFFICER,POLICE,61276,7.4
33995,AVIATION SECURITY OFFICER,AVIATION,54686,6.3
33996,STEAMFITTER,WATER MGMT,74867,5.6
34002,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,48962,7.2
34003,WEIGHMASTER,SANITATION,55950,5
34011,FIREFIGHTER,FIRE,39855,6.8
34014,LIBRARY PAGE,PUBLIC LIBRARY,10538,7.4
34016,POLICE OFFICER,POLICE,59338,4.5
34019,ADMINISTRATIVE ASST II,AVIATION,45544,7
34020,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,69117,7.3
34022,POLICE OFFICER,POLICE,59924,5.7
34023,POLICE OFFICER,POLICE,61983,6.6
34024,FINANCIAL PLANNING ANALYST,COMMUNITY DEVELOPMENT,61884,6.4
34026,POLICE OFFICER,POLICE,56251,5.4
34034,PROGRAM AUDITOR II,FAMILY & SUPPORT,54956,7.7
34035,ADMINISTRATIVE ASST III,AVIATION,57590,4.7
34040,PARAMEDIC,FIRE,63711,7.9
34048,FIRE ENGINEER-EMT,FIRE,74670,6.3
34050,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,71615,5.8
34058,SANITATION LABORER,SANITATION,56283,4.8
34069,BATTALION CHIEF - EMT,FIRE,103404,8.5
34076,POLICE OFFICER,POLICE,63299,5.6
34080,PAYMENT SERVICES REPRESENTATIVE,FINANCE,41949,6.9
34081,EXECUTIVE SECRETARY II,TREASURER,39797,6.5
34084,POLICE OFFICER,POLICE,65682,7.8
34089,POLICE OFFICER,POLICE,34609,5.4
34091,MOTOR TRUCK DRIVER,WATER MGMT,55643,7.4
34092,SANITATION LABORER,SANITATION,55865,6.2
34093,POLICE OFFICER,POLICE,63499,6.5
34095,FOSTER GRANDPARENT,FAMILY & SUPPORT,3505,7.3
34097,POLICE OFFICER,POLICE,61939,4.7
34101,POLICE OFFICER,POLICE,59016,7.1
34103,WATER RATE TAKER,WATER MGMT,68701,6.9
34104,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16840,5.2
34105,POLICE OFFICER,POLICE,59224,5.4
34106,POLICE OFFICER,POLICE,51891,3.7
34107,POLICE OFFICER,POLICE,59473,5.9
34112,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16859,8.7
34113,SANITATION LABORER,SANITATION,56393,6.3
34115,STREET LIGHT REPAIR WORKER,TRANSPORTATION,72763,8
34118,POLICE OFFICER,POLICE,61539,6.8
34119,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,71099,7.1
34121,LIBRARIAN I,PUBLIC LIBRARY,47264,5.7
34131,POLICE OFFICER,POLICE,61158,6.3
34139,STATIONARY FIREMAN,WATER MGMT,50604,5.5
34143,ASPHALT LABORER,TRANSPORTATION,60451,5.6
34144,LEGISLATIVE AIDE,CITY COUNCIL,52443,5.8
34148,POLICE OFFICER,POLICE,59696,5.7
34153,SANITATION LABORER,SANITATION,56225,7.3
34156,MOTOR TRUCK DRIVER,SANITATION,56893,6.2
34157,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16847,6.1
34161,POLICE OFFICER,POLICE,63440,6.1
34162,POLICE OFFICER,POLICE,61890,8.1
34163,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,71589,6.9
34166,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16331,4.7
34172,POLICE OFFICER,POLICE,59651,7.4
34174,POLICE OFFICER,POLICE,65574,8.7
34175,EXECUTIVE ASST,FIRE,88282,6.2
34176,HOISTING ENGINEER - MECHANIC,GENERAL SERVICES,80311,6.8
34177,CONSTRUCTION LABORER,WATER MGMT,60475,6.1
34179,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,69191,6.9
34189,POLICE OFFICER,POLICE,66363,6.6
34194,FIREFIGHTER,FIRE,63891,6.8
34196,POLICE OFFICER,POLICE,51230,7.3
34200,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,52730,8.2
34203,FOSTER GRANDPARENT,FAMILY & SUPPORT,3244,5.9
34205,POLICE OFFICER,POLICE,63116,7.8
34214,CONSTRUCTION COORD,AVIATION,73231,5.7
34215,FIREFIGHTER-EMT,FIRE,71982,6
34216,POLICE OFFICER,POLICE,51257,8
34220,DIVISION SUPERINTENDENT,SANITATION,79777,3.9
34225,SERGEANT,POLICE,83275,5.1
34227,POLICE OFFICER,POLICE,61319,7.5
34228,POLICE OFFICER,POLICE,63866,6.4
34229,POLICE OFFICER,POLICE,63556,5.7
34240,FIRE ENGINEER,FIRE,73446,7.2
34243,FIRE ENGINEER,FIRE,72799,7.4
34249,ADMINISTRATIVE MANAGER,POLICE,67036,6.5
34252,MOTOR TRUCK DRIVER,SANITATION,55422,8.4
34254,STATIONARY FIREMAN,WATER MGMT,50801,7.1
34258,TITLE V PROGRAM TRAINEE II,FAMILY & SUPPORT,8260,7.6
34267,FIREFIGHTER-EMT,FIRE,66585,5
34270,SUPVSR OF ANIMAL CONTROL OFFICERS,ANIMAL CONTRL,52732,6.2
34272,ELEVATOR INSPECTOR,BUILDINGS,89853,7.3
34275,POLICE OFFICER,POLICE,64045,6.4
34276,POLICE OFFICER,POLICE,49022,6.2
34278,POLICE OFFICER,POLICE,61760,6.2
34279,LIEUTENANT-EMT,FIRE,84411,6.9
34280,POLICE OFFICER,POLICE,61486,6.2
34283,SANITATION LABORER,SANITATION,55932,6.4
34286,SERGEANT,POLICE,78368,6.9
34290,IT DIRECTOR (DoIT),DoIT,92151,7
34293,PARAMEDIC,FIRE,51377,5.2
34296,HOISTING ENGINEER,WATER MGMT,75337,6.6
34297,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,29517,6.8
34301,CARPENTER,GENERAL SERVICES,69826,6.8
34303,POLICE OFFICER,POLICE,59789,5.5
34309,POLICE OFFICER,POLICE,63576,6.7
34310,POLICE OFFICER,POLICE,59583,6.3
34311,POLICE OFFICER,POLICE,61056,6.1
34314,LIEUTENANT,FIRE,80818,6.3
34316,FINANCE OFFICER,HEALTH,64596,7.6
34322,POLICE OFFICER,POLICE,34671,6.7
34323,NUTRITION TECHNICIAN,HEALTH,46108,5.9
34325,POOL MOTOR TRUCK DRIVER,SANITATION,55605,7.2
34328,STAFF ASST,AVIATION,49295,8.1
34329,POLICE OFFICER,POLICE,59300,6.4
34333,LIBRARY DIVISION CHIEF,PUBLIC LIBRARY,77281,7.4
34336,POLICE COMMUNICATIONS OPERATOR I,EMERGENCY MGMT,52465,5.3
34339,POLICE OFFICER,POLICE,63453,4.4
34346,CAPTAIN-EMT,FIRE,89404,5.5
34350,POLICE OFFICER,POLICE,67684,7.9
34354,ACCOUNTING TECHNICIAN II,FINANCE,46398,6.1
34357,POLICE OFFICER,POLICE,59508,6.3
34359,POLICE COMMUNICATIONS OPERATOR II,EMERGENCY MGMT,60616,6.8
34362,MOTOR TRUCK DRIVER,AVIATION,55213,6.2
34363,FIREFIGHTER,FIRE,66107,7.8
34364,POLICE OFFICER,POLICE,62003,8.1
34365,POLICE OFFICER,POLICE,65709,7.4
34366,POLICE OFFICER,POLICE,63158,8.5
34367,POLICE OFFICER,POLICE,59101,6.1
34369,SHIFT SUPVSR OF SECURITY COMMUNICATIONS CENTER,EMERGENCY MGMT,47793,5.9
34370,SERGEANT,POLICE,79904,6.8
34372,PLUMBING INSPECTOR,WATER MGMT,77151,5.2
34376,LIBRARIAN II,PUBLIC LIBRARY,44838,5
34377,POLICE OFFICER,POLICE,63748,7
34379,POLICE OFFICER,POLICE,59032,8.1
34399,SENIOR PUBLIC INFORMATION OFFICER,FINANCE,63380,6.3
34401,MOTOR TRUCK DRIVER,SANITATION,55623,6.6
34403,LINEMAN,EMERGENCY MGMT,73419,6.9
34404,POLICE COMMUNICATIONS OPERATOR I,EMERGENCY MGMT,50372,6
34410,STATIONARY FIREMAN,WATER MGMT,50682,5.6
34412,POLICE OFFICER,POLICE,67547,5.8
34418,POLICE OFFICER,POLICE,61297,4.2
34419,POLICE OFFICER,POLICE,63550,6.4
34423,POLICE OFFICER,POLICE,66280,7.4
34427,SANITATION LABORER,SANITATION,55663,6.8
34435,CONSTRUCTION LABORER,WATER MGMT,60254,6.5
34437,CHIEF PROGRAMMER/ANALYST,DoIT,87781,4.8
34440,ADMINISTRATIVE ASST III,BUSINESS AFFAIRS,49970,7.7
34442,POLICE OFFICER,POLICE,59686,4.3
34443,POLICE OFFICER,POLICE,63607,5.7
34445,CARPENTER,GENERAL SERVICES,69613,6.2
34452,POLICE COMMUNICATIONS OPERATOR I,EMERGENCY MGMT,50721,5
34455,POLICE COMMUNICATIONS OPERATOR II,EMERGENCY MGMT,52992,7.5
34456,CLERK II,GENERAL SERVICES,27895,5.9
34460,POLICE OFFICER,POLICE,63604,5.6
34461,SOCIAL WORKER III,HEALTH,65347,5.7
34466,POLICE OFFICER,POLICE,63523,6.6
34469,PARAMEDIC I/C,FIRE,68868,5.2
34475,PARAMEDIC I/C,FIRE,66068,7.3
34481,AVIATION SECURITY OFFICER,AVIATION,50418,7.5
34482,POLICE OFFICER,POLICE,59506,6
34488,POLICE OFFICER,POLICE,61926,5.7
34489,AVIATION COMMUNICATIONS OPERATOR,EMERGENCY MGMT,48618,5.8
34492,POLICE OFFICER,POLICE,63571,6.3
34496,SERGEANT,POLICE,80130,4
34497,HOISTING ENGINEER,TRANSPORTATION,75681,8.6
34498,SENIOR DATA ENTRY OPERATOR,POLICE,43733,6.6
34500,AVIATION SECURITY OFFICER,AVIATION,37198,8.3
34504,SERGEANT,POLICE,85208,6.7
34505,PLUMBER,WATER MGMT,75563,6.8
34513,POLICE OFFICER,POLICE,65922,8.2
34516,PAYMENT SERVICES REPRESENTATIVE,FINANCE,50777,7.5
34518,CONCRETE LABORER,TRANSPORTATION,60546,4.7
34529,POLICE OFFICER,POLICE,61023,4.8
34536,FIREFIGHTER,FIRE,40557,8.3
34538,LIBRARIAN IV,PUBLIC LIBRARY,67905,4.8
34539,POLICE OFFICER,POLICE,67370,4.9
34543,SPECIAL EVENTS COORD III,CULTURAL AFFAIRS,61133,6.1
34544,POOL MOTOR TRUCK DRIVER,SANITATION,55980,7.7
34547,ENGINEERING TECHNICIAN VI,TRANSPORTATION,78915,5.5
34549,FIRE ENGINEER-EMT,FIRE,74654,6.6
34555,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,73347,6.7
34557,POLICE OFFICER,POLICE,59418,6.7
34558,MOTOR TRUCK DRIVER,WATER MGMT,56074,6.6
34560,ELECTRICAL MECHANIC,GENERAL SERVICES,70670,7.1
34562,POLICE OFFICER,POLICE,63837,5.6
34569,FIREFIGHTER,FIRE,61849,3.5
34570,POLICE OFFICER,POLICE,61639,7
34576,AVIATION SECURITY OFFICER,AVIATION,57407,6.1
34582,POLICE OFFICER / FLD TRNG OFFICER,POLICE,64198,6.7
34583,STREET LIGHT REPAIR WORKER,TRANSPORTATION,73251,7.7
34585,FIRE ENGINEER,FIRE,68858,8
34586,POLICE OFFICER,POLICE,51613,6.5
34588,POLICE OFFICER,POLICE,48803,5.8
34589,POLICE OFFICER,POLICE,59462,6.6
34590,MOTOR TRUCK DRIVER,AVIATION,55186,5.6
34594,LAW CLERK,LAW,21176,6.8
34599,POLICE OFFICER / FLD TRNG OFFICER,POLICE,64497,6.4
34601,LIEUTENANT,FIRE,78149,7
34602,SERGEANT,POLICE,80168,7.3
34605,POLICE OFFICER,POLICE,61632,6.2
34608,FIREFIGHTER,FIRE,64022,6.1
34610,OPERATING ENGINEER-GROUP C,WATER MGMT,71706,6.5
34616,POLICE OFFICER,POLICE,64035,7.5
34618,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,66378,6.1
34620,FIREFIGHTER,FIRE,59103,6.6
34623,LIEUTENANT-EMT (ASSIGNED AS TRAINING INSTRUCTOR),FIRE,95052,7
34626,PROPERTY CUSTODIAN,POLICE,50161,5.4
34627,POLICE OFFICER,POLICE,65814,6.5
34629,PARKING ENFORCEMENT AIDE,FINANCE,35044,5.9
34630,GEN SUPT OF WATER MANAGEMENT,WATER MGMT,90128,6.3
34631,STREET LIGHT REPAIR WORKER,TRANSPORTATION,73209,7.6
34633,POLICE OFFICER,POLICE,61963,6.4
34641,HOISTING ENGINEER,TRANSPORTATION,73485,6.1
34643,FIREFIGHTER-EMT,FIRE,62200,5.8
34644,POLICE OFFICER,POLICE,63359,7.2
34646,POLICE OFFICER,POLICE,61070,5.7
34652,TREE TRIMMER,SANITATION,57564,6.1
34653,GARAGE ATTENDANT,GENERAL SERVICES,36370,6.9
34658,FIRE ENGINEER-EMT,FIRE,69584,5.8
34665,FIREFIGHTER-EMT,FIRE,62186,6.8
34667,SERGEANT,POLICE,83069,5.1
34669,POLICE OFFICER,POLICE,59384,6.4
34672,POLICE OFFICER,POLICE,61177,5.6
34675,LABORER - APPRENTICE,WATER MGMT,54574,7.5
34679,FRM OF MACHINISTS - AUTOMOTIVE,GENERAL SERVICES,75835,5.8
34685,SERVICE WRITER,GENERAL SERVICES,48135,5.8
34687,MOTOR TRUCK DRIVER,WATER MGMT,55168,5.9
34689,POLICE OFFICER,POLICE,63570,6.5
34690,POLICE OFFICER,POLICE,63893,8.2
34691,POLICE OFFICER,POLICE,59314,5.3
34692,ASPHALT LABORER,TRANSPORTATION,60458,5.8
34698,AVIATION SECURITY OFFICER,AVIATION,52223,7.4
34706,PUBLIC HEALTH NURSE III,HEALTH,76752,6.8
34709,POLICE OFFICER,POLICE,63212,5.2
34710,SANITATION LABORER,SANITATION,55946,6.6
34711,SANITATION LABORER,SANITATION,55774,5.5
34713,STAFF ASST,GENERAL SERVICES,50939,7.4
34716,FIREFIGHTER,FIRE,61089,8.1
34719,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,71021,6.6
34721,POLICE OFFICER,POLICE,59162,7.5
34722,PARAMEDIC,FIRE,61393,4.7
34730,HOISTING ENGINEER,WATER MGMT,75409,7.1
34734,POOL MOTOR TRUCK DRIVER,SANITATION,44808,6
34739,POLICE OFFICER,POLICE,34745,6.2
34742,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16018,6.8
34746,ASPHALT LABORER,TRANSPORTATION,60896,6.7
34750,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,70930,5.1
34755,LIEUTENANT-EMT,FIRE,79210,7.8
34758,PARAMEDIC,FIRE,51369,5.6
34759,POLICE OFFICER,POLICE,63345,6.4
34761,MOTOR TRUCK DRIVER,AVIATION,55709,8.2
34763,HR RECORDS SPECIALIST,HUMAN RESOURCES,36067,5.3
34764,CLERK III,HEALTH,39807,6.9
34766,POLICE OFFICER,POLICE,61361,6.8
34767,POLICE OFFICER,POLICE,66288,5.1
34770,POLICE OFFICER,POLICE,63806,5.8
34773,CAPTAIN-EMT,FIRE,91985,7.6
34777,FIREFIGHTER-EMT,FIRE,66993,8.9
34779,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,73991,6.2
34781,MOTOR TRUCK DRIVER,WATER MGMT,55709,6
34786,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,72721,5.4
34789,EXEC ADMINISTRATIVE ASST I,LAW,66440,6.1
34797,SERGEANT,POLICE,80588,7.2
34798,POLICE OFFICER,POLICE,63428,8.6
34802,EXEC ADMINISTRATIVE ASST II,LAW,53242,3.6
34805,POOL MOTOR TRUCK DRIVER,TRANSPORTATION,55707,6.9
34807,FOREMAN OF CUSTODIAL WORKERS,WATER MGMT,40483,8.4
34811,POLICE OFFICER,POLICE,48745,5.8
34812,PLUMBING INSPECTOR,WATER MGMT,77289,7.4
34817,ELECTRICAL MECHANIC,EMERGENCY MGMT,70247,7.1
34818,POLICE OFFICER,POLICE,51883,6.4
34819,POLICE OFFICER,POLICE,61732,6.9
34821,POLICE OFFICER,POLICE,61439,6.9
34822,POLICE OFFICER,POLICE,61657,6.5
34824,SERGEANT,POLICE,80807,7.3
34830,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,42893,6.4
34831,POLICE OFFICER,POLICE,61466,6.2
34841,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,36731,6.4
34845,POLICE OFFICER,POLICE,59287,5.4
34850,STAFF ASST,FAMILY & SUPPORT,48440,8.8
34854,IT DIRECTOR (DoIT),DoIT,81466,6.7
34855,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,73372,6.4
34865,POLICE OFFICER,POLICE,65930,7.7
34866,POLICE OFFICER,POLICE,61774,6
34872,EQUIPMENT DISPATCHER,SANITATION,56708,7.6
34873,POLICE OFFICER,POLICE,61543,7.9
34877,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,73316,6.3
34878,POLICE OFFICER,POLICE,59165,6.7
34879,ADMINISTRATIVE ASST III,GENERAL SERVICES,50093,6.9
34884,SUPERVISING WATCHMAN - AGREEMENT,GENERAL SERVICES,61925,8.4
34885,LIEUTENANT-PARAMEDIC,FIRE,81594,7.3
34886,SANITATION LABORER,SANITATION,56407,7.3
34889,FIRE ENGINEER-PARAMEDIC,FIRE,73349,4.7
34894,POLICE OFFICER,POLICE,51128,6.4
34896,POLICE OFFICER,POLICE,59244,6.2
34897,POLICE OFFICER,POLICE,59812,6.5
34898,GARAGE ATTENDANT I/C,GENERAL SERVICES,38704,5.8
34903,POLICE OFFICER,POLICE,59667,6.9
34907,POLICE OFFICER,POLICE,59721,7
34908,PROJECT MANAGER,GENERAL SERVICES,74233,4.6
34909,FIREFIGHTER-EMT,FIRE,64992,6.5
34910,FIRE ENGINEER-EMT,FIRE,72487,5.6
34913,POLICE OFFICER,POLICE,59501,5.7
34914,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,56208,8
34917,HOSPITALITY WORKER,FAMILY & SUPPORT,9253,7.9
34924,POLICE OFFICER,POLICE,61163,7.3
34931,POLICE OFFICER,POLICE,65548,5
34932,POLICE OFFICER,POLICE,67557,5
34933,CAPTAIN,POLICE,97969,6
34934,POLICE OFFICER,POLICE,59393,6.9
34939,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,7922,5.6
34941,POLICE OFFICER,POLICE,65911,6.4
34942,POLICE OFFICER,POLICE,61011,6
34944,SERGEANT,POLICE,75644,5.4
34945,FIREFIGHTER,FIRE,63685,5.2
34947,FOSTER GRANDPARENT,FAMILY & SUPPORT,3695,5.7
34951,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,73648,5.4
34954,POLICE COMMUNICATIONS OPERATOR II,EMERGENCY MGMT,57305,7.3
34957,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16750,6.5
34965,ACCOUNTING TECHNICIAN I,FINANCE,49930,5.9
34968,MOTOR TRUCK DRIVER,SANITATION,55923,5.9
34969,IT DIRECTOR (DoIT),DoIT,86858,6.9
34971,POLICE OFFICER,POLICE,56400,7
34973,GENERAL LABORER - DSS,SANITATION,33951,5.6
34974,STAFF ASST,BUILDINGS,59238,8.1
34975,ASST COMMISSIONER,COMMUNITY DEVELOPMENT,79293,6.6
34978,MOTOR TRUCK DRIVER,SANITATION,56114,6.3
34980,POLICE OFFICER,POLICE,63257,8.5
34986,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8515,4.7
34989,POLICE OFFICER,POLICE,63636,6.8
34994,LIBRARY ASSOCIATE,PUBLIC LIBRARY,49813,5.2
34998,POLICE OFFICER,POLICE,61077,6.9
35000,LIBRARIAN IV,PUBLIC LIBRARY,71188,6.4
35007,POLICE OFFICER,POLICE,61638,5.1
35008,POLICE OFFICER,POLICE,66171,5.4
35011,FOSTER GRANDPARENT,FAMILY & SUPPORT,3961,8.1
35014,SANITATION LABORER,SANITATION,55912,5.6
35020,POLICE OFFICER,POLICE,68225,5.9
35021,FIREFIGHTER,FIRE,61961,8.2
35026,FIRE ENGINEER-EMT,FIRE,69261,5.3
35030,CONSTRUCTION LABORER,WATER MGMT,61061,7.1
35034,COMMUNICATIONS OPERATOR I - 311,EMERGENCY MGMT,50351,6.7
35035,POOL MOTOR TRUCK DRIVER,SANITATION,56034,4.9
35036,POLICE OFFICER,POLICE,63375,3.3
35039,SANITATION LABORER,SANITATION,55700,5.2
35041,ADMINISTRATIVE ASST II,TRANSPORTATION,50308,5.7
35043,CONCRETE LABORER,TRANSPORTATION,61045,5.1
35048,ACCOUNTANT IV,FINANCE,67933,7.5
35050,LIBRARY ASSOCIATE,PUBLIC LIBRARY,49480,6.7
35051,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,68477,6
35052,FOREMAN OF MOTOR TRUCK DRIVERS,SANITATION,58313,5.6
35053,SERGEANT,POLICE,85651,5.3
35055,FIREFIGHTER,FIRE,63174,6.8
35058,CLERK IV,FIRE,47727,7.5
35059,POLICE OFFICER,POLICE,59719,6.5
35067,POLICE OFFICER,POLICE,59405,8.6
35073,CROSSING GUARD,POLICE,15628,8.4
35076,CHIEF ASST CORPORATION COUNSEL,LAW,97292,7.5
35079,AVIATION SECURITY OFFICER,AVIATION,60198,7.1
35085,POLICE OFFICER,POLICE,59622,8.9
35086,FIREFIGHTER,FIRE,58990,5.8
35094,STEAMFITTER,GENERAL SERVICES,74644,6.8
35098,POLICE OFFICER,POLICE,66249,7.3
35101,POLICE OFFICER,POLICE,61154,4.7
35103,FIREFIGHTER-EMT,FIRE,64978,8.1
35118,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,13674,3.6
35119,FIELD PAYROLL AUDITOR,FIRE,62636,6.7
35121,POLICE OFFICER,POLICE,63644,4.7
35123,FIREFIGHTER-EMT,FIRE,67065,6.1
35125,POLICE OFFICER,POLICE,56788,5.9
35126,CONCRETE LABORER,TRANSPORTATION,42996,4.6
35128,SANITATION LABORER,SANITATION,56071,6.9
35135,FIRE ENGINEER-EMT,FIRE,69423,6.2
35136,FIREFIGHTER,FIRE,40574,5.6
35138,FOREMAN OF ELECTRICAL MECHANICS,EMERGENCY MGMT,74748,7.3
35139,POLICE COMMUNICATIONS OPERATOR I,EMERGENCY MGMT,49965,4.4
